correctLabel,contents,source
airplane_airbus,エアバスA340 (Airbus A340) は、ヨーロッパの企業連合であるエアバス・インダストリー（後にエアバス）が開発・製造した4発ジェット旅客機である。,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%A2%E3%83%90%E3%82%B9A340
airplane_airbus,A340は長距離路線向けの大型機として開発された。エアバスA300由来の胴体を延長したワイドボディ機で、低翼に配置された主翼下に4発のターボファンエンジンを装備する。尾翼は低翼配置、降着装置は前輪配置で主翼間に中央脚を持つ仕様もある。,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%A2%E3%83%90%E3%82%B9A340
airplane_airbus,A340は双発のエアバスA330と同時に正式開発が決定され、エンジン関係を除いて両機は最大限共通化された。A340はエアバスが開発した最初の4発機となったほか、4発機と双発機の同時並行的な開発は、航空技術史上において希少な取り組みとなった。また、A340ではフライ・バイ・ワイヤシステムやグラスコックピットが導入され、操縦系統が共通化されたエアバス機との間で相互乗員資格が認められている。,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%A2%E3%83%90%E3%82%B9A340
airplane_airbus,米国の航空機メーカーに対抗するため、欧州の航空機メーカーは1970年12月に企業連合「エアバス・インダストリー」を設立した[6]。エアバスは最初の製品であるワイドボディ機、A300の販売を軌道に乗せると、1978年に2番目の製品として短中距離向けのワイドボディ機であるA310の開発を開始した[7]。A310は検討段階では「A300B10」と呼ばれていたが、当時、次期製品の候補としてA300B9（以下、B9）、A300B11（以下、B11）とそれぞれ呼ばれた機体案も考えられていた[8]。,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%A2%E3%83%90%E3%82%B9A340
AV_riku,椎名 りく（しいな りく、1986年7月8日 - ）は、東京都出身の元AV女優、ストリッパー。サンライズエージェンシーに所属していた。,https://ja.wikipedia.org/wiki/%E6%A4%8E%E5%90%8D%E3%82%8A%E3%81%8F
AV_riku,書道、ピアノ、クラシックバレエを習った。AVデビュー前は、美術の専門学校に通っていた。雑誌の付属DVDでハメ撮りモデルをした後、2006年3月に「Fairy Doll 29」でAVデビューした。オーロラ・プロジェクトの「制服が似合う素敵な娘2 びしょぬれ天使」で注目を集めた[2]。,https://ja.wikipedia.org/wiki/%E6%A4%8E%E5%90%8D%E3%82%8A%E3%81%8F
AV_riku,清純派ロリ系のキカタン（企画単体）女優。デビューから半年で100本以上の出演をこなしていた。,https://ja.wikipedia.org/wiki/%E6%A4%8E%E5%90%8D%E3%82%8A%E3%81%8F
AV_riku,2007年9月16日に新宿ニューアートでストリップデビュー。2008年7月16日付の椎名りく公式ブログにてストリップからの引退を表明した。,https://ja.wikipedia.org/wiki/%E6%A4%8E%E5%90%8D%E3%82%8A%E3%81%8F
AV_riku,2008年11月25日、椎名りく公式ブログにて12月末をもってAVからの引退を表明。同年12月31日、引退した。,https://ja.wikipedia.org/wiki/%E6%A4%8E%E5%90%8D%E3%82%8A%E3%81%8F
AV_sod,ソフト・オン・デマンド株式会社（SOFT ON DEMAND、通称:SOD）は、SOFT ON DEMAND（SOD）グループの流通・販売を担当している日本の大手アダルトコンテンツ流通業者である。SODグループの企画・制作を担当しているSODクリエイト株式会社とは資本関係はない。,https://ja.wikipedia.org/wiki/%E3%82%BD%E3%83%95%E3%83%88%E3%83%BB%E3%82%AA%E3%83%B3%E3%83%BB%E3%83%87%E3%83%9E%E3%83%B3%E3%83%89
